gender,age,ref_total,ref_wages,ref_cg,ref_other,total_income,wages,capital_gains,other_income,err_total,err_wages,err_cg,err_other,age_bin
Female,105,6182000.0,24000.0,935000.0,5222000.0,0.0,0.0,0.0,0.0,-6182000.0,-24000.0,-935000.0,-5222000.0,"[90, 120)"
Female,106,6182000.0,24000.0,935000.0,5222000.0,4757087.0,4421.0,738681.0,4013985.0,-1424913.0,-19579.0,-196319.0,-1208015.0,"[90, 120)"
Female,107,6182000.0,24000.0,935000.0,5222000.0,0.0,0.0,0.0,0.0,-6182000.0,-24000.0,-935000.0,-5222000.0,"[90, 120)"
Female,108,6182000.0,24000.0,935000.0,5222000.0,0.0,0.0,0.0,0.0,-6182000.0,-24000.0,-935000.0,-5222000.0,"[90, 120)"
Female,109,6182000.0,24000.0,935000.0,5222000.0,0.0,0.0,0.0,0.0,-6182000.0,-24000.0,-935000.0,-5222000.0,"[90, 120)"
Male,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
